response,predictor,r2_part,R2_model,p,F_val,estimate,effect_size,effect_size_st,lambda,formula,Dimens,AG_BG,Ecos_Function,Tr_Group,Trophic_level,flux_out_stock,flux_in_stock,Explanations to response
Plants_AG.Herbivores,leg.ef,0.01,0.3392462966584985,0.3889466134497135,0.7514217448122366,0.08421696482692001,0.005948164000652026,0.0769321054422905,0.20000000000000018,(Plants_AG.Herbivores ^ lambda -1)/lambda ~ block + leg.ef + log2(sowndiv) + gr.ef + sh.ef + th.ef,flow,AG,Herbivory,NA,NA,Plants,AG.Herbivores,Herbivory by AG Herbivores
Plants_AG.Herbivores,gr.ef,0.178,0.3392462966584983,2.0507273367425746e-4,15.329420907737765,-0.4037722211526336,-0.02967601560425837,-0.383822362887708,0.20000000000000018,(Plants_AG.Herbivores ^ lambda -1)/lambda ~ block + gr.ef + log2(sowndiv) + leg.ef + sh.ef + th.ef,flow,AG,Herbivory,NA,NA,Plants,AG.Herbivores,Herbivory by AG Herbivores
Plants_AG.Herbivores,sh.ef,0.048,0.3392462966584984,0.06393147245475682,3.5420145970786807,0.1892395764153717,0.013362070795616663,0.17309311996311666,0.20000000000000018,(Plants_AG.Herbivores ^ lambda -1)/lambda ~ block + sh.ef + log2(sowndiv) + leg.ef + gr.ef + th.ef,flow,AG,Herbivory,NA,NA,Plants,AG.Herbivores,Herbivory by AG Herbivores
Plants_AG.Herbivores,th.ef,0,0.33924629665849854,0.8665591405734991,0.028439526374544458,0.017098236879980595,0.0012113347681161415,0.015632605396111728,0.20000000000000018,(Plants_AG.Herbivores ^ lambda -1)/lambda ~ block + th.ef + log2(sowndiv) + leg.ef + gr.ef + sh.ef,flow,AG,Herbivory,NA,NA,Plants,AG.Herbivores,Herbivory by AG Herbivores
Plants_AG.Herbivores,FDis_pa,0.009,0.3451055695160577,0.43139550927950066,0.6262827731273587,-1.0769333566163497,-0.08322538890958732,-0.12148703975480607,0.20000000000000018,(Plants_AG.Herbivores ^ lambda -1)/lambda ~ block + FDis_pa + log2(sowndiv) + leg.ef + gr.ef + sh.ef + th.ef,flow,AG,Herbivory,NA,NA,Plants,AG.Herbivores,Herbivory by AG Herbivores
Plants_AG.Herbivores,FDis,0.012,0.15255342365416635,0.3549403020567702,0.866546050185863,-1.4863154420741242,-0.11037376558211376,-0.17581411557525278,0.20000000000000018,(Plants_AG.Herbivores ^ lambda -1)/lambda ~ block + FDis + log2(sowndiv),flow,AG,Herbivory,NA,NA,Plants,AG.Herbivores,Herbivory by AG Herbivores
Plants_AG.Herbivores,FDbranch,0.032,0.08878199692232322,0.11801155991856431,2.5005958989777906,0.029187274784369777,0.002436196031013921,0.17588000393485634,0.20000000000000018,(Plants_AG.Herbivores ^ lambda -1)/lambda ~ block + FDbranch,flow,AG,Herbivory,NA,NA,Plants,AG.Herbivores,Herbivory by AG Herbivores
AG.Herbivores_AG.Carnivores,sowndiv,0.07,0.15758390959793372,0.024073962167478428,5.314547283128248,0.015073814363696932,4.259576983675072e-5,0.2576480421911913,0.40000000000000036,(AG.Herbivores_AG.Carnivores ^ lambda -1)/lambda ~ block + log2(sowndiv) + leg.ef + gr.ef + sh.ef + th.ef,flow,AG,Predation,NA,NA,AG.Herbivores,AG.Carnivores,Predation of AG Herbivores by AG Carnivores
AG.Herbivores_AG.Carnivores,numfg,0.031,0.13402234216194428,0.12763030722657398,2.3740742005128737,-0.013776360753863083,-3.8139221565958197e-4,-0.20706401371637365,0.40000000000000036,(AG.Herbivores_AG.Carnivores ^ lambda -1)/lambda ~ block + numfg + log2(sowndiv),flow,AG,Predation,NA,NA,AG.Herbivores,AG.Carnivores,Predation of AG Herbivores by AG Carnivores
AG.Herbivores_AG.Carnivores,leg.ef,0.004,0.15758390959793364,0.583488265389952,0.3033993076257316,-0.009800078223495146,-2.8086856047882707e-4,-0.06598781827803699,0.40000000000000036,(AG.Herbivores_AG.Carnivores ^ lambda -1)/lambda ~ block + leg.ef + log2(sowndiv) + gr.ef + sh.ef + th.ef,flow,AG,Predation,NA,NA,AG.Herbivores,AG.Carnivores,Predation of AG Herbivores by AG Carnivores
AG.Herbivores_AG.Carnivores,gr.ef,0.022,0.1575839095979337,0.2104808673896345,1.5968695394087926,-0.02386562565315079,-6.864817837119578e-4,-0.1612833957547278,0.40000000000000036,(AG.Herbivores_AG.Carnivores ^ lambda -1)/lambda ~ block + gr.ef + log2(sowndiv) + leg.ef + sh.ef + th.ef,flow,AG,Predation,NA,NA,AG.Herbivores,AG.Carnivores,Predation of AG Herbivores by AG Carnivores
AG.Herbivores_AG.Carnivores,sh.ef,0,0.1575839095979337,0.897870458007933,0.016592579547006252,0.002371965082683735,6.779081171731692e-5,0.015951915085068435,0.40000000000000036,(AG.Herbivores_AG.Carnivores ^ lambda -1)/lambda ~ block + sh.ef + log2(sowndiv) + leg.ef + gr.ef + th.ef,flow,AG,Predation,NA,NA,AG.Herbivores,AG.Carnivores,Predation of AG Herbivores by AG Carnivores
AG.Herbivores_AG.Carnivores,th.ef,0.027,0.15758390959793375,0.16313905213089805,1.9858628154454079,-0.0261655166887088,-7.546745937778432e-4,-0.1769142720579358,0.40000000000000036,(AG.Herbivores_AG.Carnivores ^ lambda -1)/lambda ~ block + th.ef + log2(sowndiv) + leg.ef + gr.ef + sh.ef,flow,AG,Predation,NA,NA,AG.Herbivores,AG.Carnivores,Predation of AG Herbivores by AG Carnivores
AG.Herbivores_AG.Carnivores,FDis_pa,0.074,0.21994771532386928,0.02103810263195807,5.572222057665685,1.0650118240161284,0.01319213171977556,0.34980422682644424,0.30000000000000027,(AG.Herbivores_AG.Carnivores ^ lambda -1)/lambda ~ block + FDis_pa + log2(sowndiv) + leg.ef + gr.ef + sh.ef + th.ef,flow,AG,Predation,NA,NA,AG.Herbivores,AG.Carnivores,Predation of AG Herbivores by AG Carnivores
AG.Herbivores_AG.Carnivores,FDis,0.001,0.11237012804009092,0.837489676220772,0.042365586123757314,0.1021743735948386,0.0014873856275942055,0.043037537970570416,0.30000000000000027,(AG.Herbivores_AG.Carnivores ^ lambda -1)/lambda ~ block + FDis + log2(sowndiv),flow,AG,Predation,NA,NA,AG.Herbivores,AG.Carnivores,Predation of AG Herbivores by AG Carnivores
AG.Herbivores_AG.Carnivores,FDbranch,0.047,0.12009928371929028,0.05913515132232786,3.672274501299551,0.010558578807890325,1.948234112469785e-4,0.2554943708710769,0.30000000000000027,(AG.Herbivores_AG.Carnivores ^ lambda -1)/lambda ~ block + FDbranch,flow,AG,Predation,NA,NA,AG.Herbivores,AG.Carnivores,Predation of AG Herbivores by AG Carnivores
AG.Decomposers_AG.Carnivores,sowndiv,0.058,0.2836436176596124,0.03970290513711693,4.390693618939626,0.00981621926065605,1.5794769946247616e-5,0.21673426423828362,0.40000000000000036,(AG.Decomposers_AG.Carnivores ^ lambda -1)/lambda ~ block + log2(sowndiv) + leg.ef + gr.ef + sh.ef + th.ef,flow,AG,Predation,NA,NA,AG.Decomposers,AG.Carnivores,Predation of AG Decomposers by AG Carnivores
AG.Decomposers_AG.Carnivores,numfg,0.039,0.22899954127702105,0.088972132489563,2.9704915564919965,0.011296968470248556,1.9005437280714488e-4,0.2340801385579738,0.40000000000000036,(AG.Decomposers_AG.Carnivores ^ lambda -1)/lambda ~ block + numfg + log2(sowndiv),flow,AG,Predation,NA,NA,AG.Decomposers,AG.Carnivores,Predation of AG Decomposers by AG Carnivores
AG.Decomposers_AG.Carnivores,leg.ef,0.064,0.2836436176596127,0.031150737696841915,4.834779639994989,0.028028396382947487,4.520636616160466e-4,0.24094290143971966,0.40000000000000036,(AG.Decomposers_AG.Carnivores ^ lambda -1)/lambda ~ block + leg.ef + log2(sowndiv) + gr.ef + sh.ef + th.ef,flow,AG,Predation,NA,NA,AG.Decomposers,AG.Carnivores,Predation of AG Decomposers by AG Carnivores
AG.Decomposers_AG.Carnivores,gr.ef,0.002,0.2836436176596124,0.7020556023093822,0.14752934485441874,0.005197146649833163,8.442075893885207e-5,0.04499495165737548,0.40000000000000036,(AG.Decomposers_AG.Carnivores ^ lambda -1)/lambda ~ block + gr.ef + log2(sowndiv) + leg.ef + sh.ef + th.ef,flow,AG,Predation,NA,NA,AG.Decomposers,AG.Carnivores,Predation of AG Decomposers by AG Carnivores
AG.Decomposers_AG.Carnivores,sh.ef,0.025,0.2836436176596124,0.17949481574431078,1.837892494433098,0.017885416101597634,2.89943141541978e-4,0.15477782208089408,0.40000000000000036,(AG.Decomposers_AG.Carnivores ^ lambda -1)/lambda ~ block + sh.ef + log2(sowndiv) + leg.ef + gr.ef + th.ef,flow,AG,Predation,NA,NA,AG.Decomposers,AG.Carnivores,Predation of AG Decomposers by AG Carnivores
AG.Decomposers_AG.Carnivores,th.ef,0.006,0.2836436176596124,0.5043199248014769,0.45040572709823834,-0.00892779694787285,-1.4590032325483893e-4,-0.07759134681625568,0.40000000000000036,(AG.Decomposers_AG.Carnivores ^ lambda -1)/lambda ~ block + th.ef + log2(sowndiv) + leg.ef + gr.ef + sh.ef,flow,AG,Predation,NA,NA,AG.Decomposers,AG.Carnivores,Predation of AG Decomposers by AG Carnivores
AG.Decomposers_AG.Carnivores,FDis_pa,0.042,0.31396319254543725,0.08296764482791266,3.093668180694935,0.3086995236233865,0.004328151840646467,0.26035532123605465,0.40000000000000036,(AG.Decomposers_AG.Carnivores ^ lambda -1)/lambda ~ block + FDis_pa + log2(sowndiv) + leg.ef + gr.ef + sh.ef + th.ef,flow,AG,Predation,NA,NA,AG.Decomposers,AG.Carnivores,Predation of AG Decomposers by AG Carnivores
AG.Decomposers_AG.Carnivores,FDis,0.042,0.2314010462846892,0.07723323248024079,3.2109876175678496,0.34334889144093517,0.005353148940542573,0.35138810930754394,0.40000000000000036,(AG.Decomposers_AG.Carnivores ^ lambda -1)/lambda ~ block + FDis + log2(sowndiv),flow,AG,Predation,NA,NA,AG.Decomposers,AG.Carnivores,Predation of AG Decomposers by AG Carnivores
AG.Decomposers_AG.Carnivores,FDbranch,0.038,0.07157367446724788,0.08769324558402274,2.9938692886804943,0.004062171198058259,7.699719775532821e-5,0.2290704181102785,0.40000000000000036,(AG.Decomposers_AG.Carnivores ^ lambda -1)/lambda ~ block + FDbranch,flow,AG,Predation,NA,NA,AG.Decomposers,AG.Carnivores,Predation of AG Decomposers by AG Carnivores
Plants_AG.Omnivores,sowndiv,0.099,0.32794372182004244,0.006686797761974915,7.806881247066343,0.10885478099457163,2.536750026930806e-4,0.229261969041541,0.20000000000000018,(Plants_AG.Omnivores ^ lambda -1)/lambda ~ block + log2(sowndiv) + leg.ef + gr.ef + sh.ef + th.ef,flow,AG,Herbivory,NA,NA,Plants,AG.Omnivores,Herbivory by AG Omnivores
Plants_AG.Omnivores,numfg,0.005,0.1996113399395824,0.5592882186875155,0.3440458979993013,0.033633485531226755,7.811325284215383e-4,0.06336530011439993,0.20000000000000018,(Plants_AG.Omnivores ^ lambda -1)/lambda ~ block + numfg + log2(sowndiv),flow,AG,Herbivory,NA,NA,Plants,AG.Omnivores,Herbivory by AG Omnivores
Plants_AG.Omnivores,leg.ef,0.13,0.3279437218200426,0.001699649660579651,10.643376148272658,0.3458443235005532,0.007853470528070488,0.275686962907468,0.20000000000000018,(Plants_AG.Omnivores ^ lambda -1)/lambda ~ block + leg.ef + log2(sowndiv) + gr.ef + sh.ef + th.ef,flow,AG,Herbivory,NA,NA,Plants,AG.Omnivores,Herbivory by AG Omnivores
Plants_AG.Omnivores,gr.ef,0.007,0.3279437218200425,0.470264110148626,0.526983476438991,-0.08168744296905252,-0.0018887075866877451,-0.06630088653584928,0.20000000000000018,(Plants_AG.Omnivores ^ lambda -1)/lambda ~ block + gr.ef + log2(sowndiv) + leg.ef + sh.ef + th.ef,flow,AG,Herbivory,NA,NA,Plants,AG.Omnivores,Herbivory by AG Omnivores
Plants_AG.Omnivores,sh.ef,0.001,0.3279437218200425,0.7568591611743181,0.09660002877799319,-0.03410033630428897,-7.842999297487906e-4,-0.027575166317731496,0.20000000000000018,(Plants_AG.Omnivores ^ lambda -1)/lambda ~ block + sh.ef + log2(sowndiv) + leg.ef + gr.ef + th.ef,flow,AG,Herbivory,NA,NA,Plants,AG.Omnivores,Herbivory by AG Omnivores
Plants_AG.Omnivores,th.ef,0.018,0.32794372182004244,0.26404337221162055,1.2674144849277065,-0.12454684288874553,-0.0029017582518410905,-0.10163852121625634,0.20000000000000018,(Plants_AG.Omnivores ^ lambda -1)/lambda ~ block + th.ef + log2(sowndiv) + leg.ef + gr.ef + sh.ef,flow,AG,Herbivory,NA,NA,Plants,AG.Omnivores,Herbivory by AG Omnivores
Plants_AG.Omnivores,FDis_pa,0.037,0.3528176392092088,0.10544146608609486,2.690391955544182,-2.4007076876529108,-0.07148138941049724,-0.2832024647930111,0.20000000000000018,(Plants_AG.Omnivores ^ lambda -1)/lambda ~ block + FDis_pa + log2(sowndiv) + leg.ef + gr.ef + sh.ef + th.ef,flow,AG,Herbivory,NA,NA,Plants,AG.Omnivores,Herbivory by AG Omnivores
Plants_AG.Omnivores,FDis,0.002,0.19783594077935104,0.6730296295204456,0.17950305275670506,-0.7120766467065782,-0.017319912710919698,-0.07487959841126877,0.20000000000000018,(Plants_AG.Omnivores ^ lambda -1)/lambda ~ block + FDis + log2(sowndiv),flow,AG,Herbivory,NA,NA,Plants,AG.Omnivores,Herbivory by AG Omnivores
Plants_AG.Omnivores,FDbranch,0.034,0.08370646970650901,0.10745021354323653,2.654506138217749,0.03262646658900873,9.651996518791147e-4,0.189126035440996,0.20000000000000018,(Plants_AG.Omnivores ^ lambda -1)/lambda ~ block + FDbranch,flow,AG,Herbivory,NA,NA,Plants,AG.Omnivores,Herbivory by AG Omnivores
AG.Herbivores_AG.Omnivores,sowndiv,0.197,0.30136234640535997,8.472440400068686e-5,17.392982805002198,0.0929159832458565,1.4555236893432532e-5,0.288109142944156,0.20000000000000018,(AG.Herbivores_AG.Omnivores ^ lambda -1)/lambda ~ block + log2(sowndiv) + leg.ef + gr.ef + sh.ef + th.ef,flow,AG,Predation,NA,NA,AG.Herbivores,AG.Omnivores,Predation of AG Herbivores by AG Omnivores
AG.Herbivores_AG.Omnivores,numfg,0.02,0.25061144789329654,0.22031408401686947,1.5280544422093865,-0.09227304559387058,-5.0397448563821624e-5,-0.08954034038427598,0.10000000000000009,(AG.Herbivores_AG.Omnivores ^ lambda -1)/lambda ~ block + numfg + log2(sowndiv),flow,AG,Predation,NA,NA,AG.Herbivores,AG.Omnivores,Predation of AG Herbivores by AG Omnivores
AG.Herbivores_AG.Omnivores,leg.ef,0.005,0.30136234640535986,0.5721678158480699,0.32205093219799685,0.03440312537203272,4.925533206793126e-5,0.03786964901608698,0.20000000000000018,(AG.Herbivores_AG.Omnivores ^ lambda -1)/lambda ~ block + leg.ef + log2(sowndiv) + gr.ef + sh.ef + th.ef,flow,AG,Predation,NA,NA,AG.Herbivores,AG.Omnivores,Predation of AG Herbivores by AG Omnivores
AG.Herbivores_AG.Omnivores,gr.ef,0.003,0.3013623464053599,0.640226998189822,0.2203298974003836,-0.030205650304461488,-4.367199357079623e-5,-0.0335769346977082,0.20000000000000018,(AG.Herbivores_AG.Omnivores ^ lambda -1)/lambda ~ block + gr.ef + log2(sowndiv) + leg.ef + sh.ef + th.ef,flow,AG,Predation,NA,NA,AG.Herbivores,AG.Omnivores,Predation of AG Herbivores by AG Omnivores
AG.Herbivores_AG.Omnivores,sh.ef,0.004,0.3013623464053601,0.5862392468938231,0.2989764304558121,-0.034307034705835425,-4.955282452644724e-5,-0.0381581926942626,0.20000000000000018,(AG.Herbivores_AG.Omnivores ^ lambda -1)/lambda ~ block + sh.ef + log2(sowndiv) + leg.ef + gr.ef + th.ef,flow,AG,Predation,NA,NA,AG.Herbivores,AG.Omnivores,Predation of AG Herbivores by AG Omnivores
AG.Herbivores_AG.Omnivores,th.ef,0.048,0.3013623464053599,0.06217531960141287,3.590713806699364,-0.11988323599291398,-1.780519106810465e-4,-0.1365925981669187,0.20000000000000018,(AG.Herbivores_AG.Omnivores ^ lambda -1)/lambda ~ block + th.ef + log2(sowndiv) + leg.ef + gr.ef + sh.ef,flow,AG,Predation,NA,NA,AG.Herbivores,AG.Omnivores,Predation of AG Herbivores by AG Omnivores
AG.Herbivores_AG.Omnivores,FDis_pa,0.003,0.2819682291656924,0.6349060267470431,0.22745082701037517,0.9891734542094153,5.209875258677479e-4,0.0452079471211175,0.10000000000000009,(AG.Herbivores_AG.Omnivores ^ lambda -1)/lambda ~ block + FDis_pa + log2(sowndiv) + leg.ef + gr.ef + sh.ef + th.ef,flow,AG,Predation,NA,NA,AG.Herbivores,AG.Omnivores,Predation of AG Herbivores by AG Omnivores
AG.Herbivores_AG.Omnivores,FDis,0.009,0.2646192161760422,0.4162112237557648,0.6684673003611451,0.7379500124322689,9.174188350762037e-4,0.0868698112223754,0.20000000000000018,(AG.Herbivores_AG.Omnivores ^ lambda -1)/lambda ~ block + FDis + log2(sowndiv),flow,AG,Predation,NA,NA,AG.Herbivores,AG.Omnivores,Predation of AG Herbivores by AG Omnivores
AG.Herbivores_AG.Omnivores,FDbranch,0.097,0.142340488705545,0.005964239066714881,8.010824507956473,0.07377269035979228,9.227985429367823e-5,0.3960267121110193,0.10000000000000009,(AG.Herbivores_AG.Omnivores ^ lambda -1)/lambda ~ block + FDbranch,flow,AG,Predation,NA,NA,AG.Herbivores,AG.Omnivores,Predation of AG Herbivores by AG Omnivores
AG.Decomposers_AG.Omnivores,sowndiv,0.044,0.23852612193021833,0.07589836660771265,3.2447555854063572,0.12322577414031931,3.9723160320751375e-6,0.04064373212014135,0.10000000000000009,(AG.Decomposers_AG.Omnivores ^ lambda -1)/lambda ~ block + log2(sowndiv) + leg.ef + gr.ef + sh.ef + th.ef,flow,AG,Predation,NA,NA,AG.Decomposers,AG.Omnivores,Predation of AG Decomposers by AG Omnivores
AG.Decomposers_AG.Omnivores,numfg,0.012,0.10129562460509338,0.3427318003397173,0.9118549886690911,-0.09571096477808408,-2.709789451589541e-5,-0.024886152806172516,0.10000000000000009,(AG.Decomposers_AG.Omnivores ^ lambda -1)/lambda ~ block + numfg + log2(sowndiv),flow,AG,Predation,NA,NA,AG.Decomposers,AG.Omnivores,Predation of AG Decomposers by AG Omnivores
AG.Decomposers_AG.Omnivores,leg.ef,0.045,0.2385261219302185,0.07121192070182987,3.354613005201966,0.3409290423918626,1.0419745750227628e-4,0.04141018545824987,0.10000000000000009,(AG.Decomposers_AG.Omnivores ^ lambda -1)/lambda ~ block + leg.ef + log2(sowndiv) + gr.ef + sh.ef + th.ef,flow,AG,Predation,NA,NA,AG.Decomposers,AG.Omnivores,Predation of AG Decomposers by AG Omnivores
AG.Decomposers_AG.Omnivores,gr.ef,0.074,0.23852612193021838,0.020150081191318094,5.650325318705334,-0.469672755173637,-1.563104470174767e-4,-0.062120945704594054,0.10000000000000009,(AG.Decomposers_AG.Omnivores ^ lambda -1)/lambda ~ block + gr.ef + log2(sowndiv) + leg.ef + sh.ef + th.ef,flow,AG,Predation,NA,NA,AG.Decomposers,AG.Omnivores,Predation of AG Decomposers by AG Omnivores
AG.Decomposers_AG.Omnivores,sh.ef,0.001,0.2385261219302183,0.8021758100689089,0.06323805539587088,-0.04844635716576457,-1.4961120871754196e-5,-0.005955188857678554,0.10000000000000009,(AG.Decomposers_AG.Omnivores ^ lambda -1)/lambda ~ block + sh.ef + log2(sowndiv) + leg.ef + gr.ef + th.ef,flow,AG,Predation,NA,NA,AG.Decomposers,AG.Omnivores,Predation of AG Decomposers by AG Omnivores
AG.Decomposers_AG.Omnivores,th.ef,0.024,0.2385261219302183,0.19193154427840695,1.735611129553752,-0.2559183590135434,-8.20002684109352e-5,-0.03251680198383118,0.10000000000000009,(AG.Decomposers_AG.Omnivores ^ lambda -1)/lambda ~ block + th.ef + log2(sowndiv) + leg.ef + gr.ef + sh.ef,flow,AG,Predation,NA,NA,AG.Decomposers,AG.Omnivores,Predation of AG Decomposers by AG Omnivores
AG.Decomposers_AG.Omnivores,FDis_pa,0.019,0.25300438488557075,0.24805757397953643,1.3567394324254676,-3.0213606932219537,-0.0013507004399486563,-0.06058408142253453,0.10000000000000009,(AG.Decomposers_AG.Omnivores ^ lambda -1)/lambda ~ block + FDis_pa + log2(sowndiv) + leg.ef + gr.ef + sh.ef + th.ef,flow,AG,Predation,NA,NA,AG.Decomposers,AG.Omnivores,Predation of AG Decomposers by AG Omnivores
AG.Decomposers_AG.Omnivores,FDis,0.002,0.09210283651460749,0.6964841510054088,0.153345285067491,-1.1550211114652857,-3.421141878823709e-4,-0.016744968531175533,0.10000000000000009,(AG.Decomposers_AG.Omnivores ^ lambda -1)/lambda ~ block + FDis + log2(sowndiv),flow,AG,Predation,NA,NA,AG.Decomposers,AG.Omnivores,Predation of AG Decomposers by AG Omnivores
AG.Decomposers_AG.Omnivores,FDbranch,0.004,0.07640160652379532,0.6032592757387303,0.2724077303532132,-0.01730969116902919,-3.26708011926238e-6,-0.007247519455216006,0.10000000000000009,(AG.Decomposers_AG.Omnivores ^ lambda -1)/lambda ~ block + FDbranch,flow,AG,Predation,NA,NA,AG.Decomposers,AG.Omnivores,Predation of AG Decomposers by AG Omnivores
AG.Litter_AG.Omnivores,sowndiv,0.047,0.09413901750023332,0.0667848027629798,3.465918431353016,0.06676438150660985,7.568562163582644e-4,0.18530966103552723,0.30000000000000027,(AG.Litter_AG.Omnivores ^ lambda -1)/lambda ~ block + log2(sowndiv) + leg.ef + gr.ef + sh.ef + th.ef,flow,AG,Decomposition,NA,NA,AG.Litter,AG.Omnivores,Decomposition by AG Omnivores
AG.Litter_AG.Omnivores,numfg,0.001,0.08500614992807606,0.7848268979196642,0.07509111544883453,-0.013320347978357646,-0.0015072130037557228,-0.033123158298721964,0.30000000000000027,(AG.Litter_AG.Omnivores ^ lambda -1)/lambda ~ block + numfg + log2(sowndiv),flow,AG,Decomposition,NA,NA,AG.Litter,AG.Omnivores,Decomposition by AG Omnivores
AG.Litter_AG.Omnivores,leg.ef,0.003,0.09413901750023336,0.6407384963024385,0.21965531386480844,0.04573395319823996,0.005213425067768215,0.04958017798786144,0.30000000000000027,(AG.Litter_AG.Omnivores ^ lambda -1)/lambda ~ block + leg.ef + log2(sowndiv) + gr.ef + sh.ef + th.ef,flow,AG,Decomposition,NA,NA,AG.Litter,AG.Omnivores,Decomposition by AG Omnivores
AG.Litter_AG.Omnivores,gr.ef,0.004,0.09413901750023332,0.5921410345930177,0.28962976855015166,-0.055744925684576375,-0.006398119701435556,-0.06084673884468327,0.30000000000000027,(AG.Litter_AG.Omnivores ^ lambda -1)/lambda ~ block + gr.ef + log2(sowndiv) + leg.ef + sh.ef + th.ef,flow,AG,Decomposition,NA,NA,AG.Litter,AG.Omnivores,Decomposition by AG Omnivores
AG.Litter_AG.Omnivores,sh.ef,0.001,0.0941390175002333,0.774702960832939,0.08255373750794757,-0.02901785751287473,-0.003321918551900886,-0.031641370014338005,0.30000000000000027,(AG.Litter_AG.Omnivores ^ lambda -1)/lambda ~ block + sh.ef + log2(sowndiv) + leg.ef + gr.ef + th.ef,flow,AG,Decomposition,NA,NA,AG.Litter,AG.Omnivores,Decomposition by AG Omnivores
AG.Litter_AG.Omnivores,th.ef,0,0.09413901750023337,0.8577053814531148,0.0323815648954241,-0.01832522206375947,-0.002098472543900484,-0.019912726822768918,0.30000000000000027,(AG.Litter_AG.Omnivores ^ lambda -1)/lambda ~ block + th.ef + log2(sowndiv) + leg.ef + gr.ef + sh.ef,flow,AG,Decomposition,NA,NA,AG.Litter,AG.Omnivores,Decomposition by AG Omnivores
