response,predictor,r2_part,R2_model,p,estimate,effect_size,effect_size_st,lambda,formula
Plants.Stock,th.ef,0.001,0.4849304434647768,0.8399571122793554,0.0885123619167009,11.404336710216512,0.01667658840684855,-0.09999999999999987,(Plants.Stock ^ lambda -1)/lambda ~ block + th.ef + sowndiv + leg.ef + gr.ef + sh.ef
AG.Herbivores.Stock,sowndiv,0.099,0.2058044948725628,0.0067300675083041385,-2.059595186795293,0.002460395875117507,0.38413964506267206,0.40000000000000036,(AG.Herbivores.Stock ^ lambda -1)/lambda ~ block + sowndiv + leg.ef + gr.ef + sh.ef + th.ef
AG.Herbivores.Stock,numfg,0.035,0.16784044622073413,0.10712205559179473,0.08382442955475236,-0.0017660306963347596,-0.19992465866760575,0.30000000000000027,(AG.Herbivores.Stock ^ lambda -1)/lambda ~ block + numfg + sowndiv
AG.Herbivores.Stock,leg.ef,0.002,0.20580449487256264,0.6971293023549622,0.01710005241546688,-8.685269223953837e-4,-0.04254800859579839,0.40000000000000036,(AG.Herbivores.Stock ^ lambda -1)/lambda ~ block + leg.ef + sowndiv + gr.ef + sh.ef + th.ef
AG.Herbivores.Stock,gr.ef,0.057,0.20580449487256286,0.041475505713508366,-0.05715018728013135,-0.004933785768012101,-0.2416997721708418,0.40000000000000036,(AG.Herbivores.Stock ^ lambda -1)/lambda ~ block + gr.ef + sowndiv + leg.ef + sh.ef + th.ef
AG.Herbivores.Stock,sh.ef,0.001,0.20580449487256278,0.8432808076545776,0.005949576822319092,4.5555201963683525e-4,0.02235194309995171,0.40000000000000036,(AG.Herbivores.Stock ^ lambda -1)/lambda ~ block + sh.ef + sowndiv + leg.ef + gr.ef + th.ef
AG.Herbivores.Stock,th.ef,0.014,0.20580449487256283,0.314226621580465,0.029724167418951404,-0.00235987654933314,-0.11535269263861622,0.40000000000000036,(AG.Herbivores.Stock ^ lambda -1)/lambda ~ block + th.ef + sowndiv + leg.ef + gr.ef + sh.ef
AG.Carnivores.Stock,sowndiv,0.044,0.2649731987741185,0.07591208459127156,-1.9326154120934227,-0.002917259716714908,-0.20809513529919937,0.30000000000000027,(AG.Carnivores.Stock ^ lambda -1)/lambda ~ block + sowndiv + leg.ef + gr.ef + sh.ef + th.ef
AG.Carnivores.Stock,numfg,0.003,0.2501093583191028,0.6151954757785356,-0.07900348817555562,0.0011713205555456037,0.06058241367474342,0.30000000000000027,(AG.Carnivores.Stock ^ lambda -1)/lambda ~ block + numfg + sowndiv
AG.Carnivores.Stock,leg.ef,0.023,0.2649731987741185,0.20356556133805043,-0.17530675892269357,0.005877711531918392,0.1315548649579198,0.30000000000000027,(AG.Carnivores.Stock ^ lambda -1)/lambda ~ block + leg.ef + sowndiv + gr.ef + sh.ef + th.ef
AG.Carnivores.Stock,gr.ef,0.001,0.26497319877411846,0.782190656107204,-0.2579066744324831,0.0013533485644166288,0.030290630403686195,0.30000000000000027,(AG.Carnivores.Stock ^ lambda -1)/lambda ~ block + gr.ef + sowndiv + leg.ef + sh.ef + th.ef
AG.Carnivores.Stock,sh.ef,0.001,0.2649731987741185,0.7757517434745711,-0.014018134474083515,-0.0013618897652090678,-0.03052965911269825,0.30000000000000027,(AG.Carnivores.Stock ^ lambda -1)/lambda ~ block + sh.ef + sowndiv + leg.ef + gr.ef + th.ef
AG.Carnivores.Stock,th.ef,0.002,0.26497319877411857,0.744435331833252,-0.031355544401712544,-0.0015730130075682983,-0.035129620484683516,0.30000000000000027,(AG.Carnivores.Stock ^ lambda -1)/lambda ~ block + th.ef + sowndiv + leg.ef + gr.ef + sh.ef
AG.Omnivores.Stock,sowndiv,0.109,0.314225878455323,0.004344433058889421,-3.35321573100975,0.0026292774689605277,0.2607687578349014,0.20000000000000018,(AG.Omnivores.Stock ^ lambda -1)/lambda ~ block + sowndiv + leg.ef + gr.ef + sh.ef + th.ef
AG.Omnivores.Stock,numfg,0,0.27639319868876167,0.8808300001194995,-0.06007951028974236,1.5237215094022807e-4,0.010957430162794742,0.20000000000000018,(AG.Omnivores.Stock ^ lambda -1)/lambda ~ block + numfg + sowndiv
AG.Omnivores.Stock,leg.ef,0.035,0.31422587845532307,0.11301336935419827,0.26454418733986695,0.0031517315588515914,0.09807993547707353,0.20000000000000018,(AG.Omnivores.Stock ^ lambda -1)/lambda ~ block + leg.ef + sowndiv + gr.ef + sh.ef + th.ef
AG.Omnivores.Stock,gr.ef,0.002,0.31422587845532307,0.7444632265032352,-0.06308019340615148,6.865495903281829e-4,0.021364998339431923,0.20000000000000018,(AG.Omnivores.Stock ^ lambda -1)/lambda ~ block + gr.ef + sowndiv + leg.ef + sh.ef + th.ef
AG.Omnivores.Stock,sh.ef,0.002,0.3142258784553231,0.6865713598951306,-0.03933993502373788,-8.327580945067525e-4,-0.025955605669874256,0.20000000000000018,(AG.Omnivores.Stock ^ lambda -1)/lambda ~ block + sh.ef + sowndiv + leg.ef + gr.ef + th.ef
AG.Omnivores.Stock,th.ef,0.024,0.314225878455323,0.1884152004315605,0.10158895656049544,-0.002790159485556192,-0.0866368150079148,0.20000000000000018,(AG.Omnivores.Stock ^ lambda -1)/lambda ~ block + th.ef + sowndiv + leg.ef + gr.ef + sh.ef
