plotcode,block,plot,sowndiv,numfg,numgrass,numsherb,numtherb,numleg,gr.ef,sh.ef,th.ef,leg.ef,*  ->  Plants,Plants -> AG Herbivores,AG Herbivores -> AG Carnivores ,AG Decomposers -> AG Carnivores ,Plants -> AG Omnivores,AG Herbivores -> AG Omnivores,AG Decomposers -> AG Omnivores,AG Litter -> AG Omnivores,AG Litter -> AG Decomposers ,BG Herbivores -> BG Carnivores,BG Decomposers -> BG Carnivores,Plants -> BG Herbivores,SOM -> BG Decomposers ,Plants -> BG Omnivores,BG Herbivores -> BG Omnivores,BG Decomposers -> BG Omnivores,SOM -> BG Omnivores,Soil Microorganisms -> BG Omnivores,Plants  ->  SOM,BG Carnivores -> SOM,BG Herbivores -> SOM,BG Decomposers  -> SOM,BG Omnivores -> SOM,AG Litter -> SOM,Soil Microorganisms -> SOM,Plants  ->  AG Litter,AG Herbivores -> AG Litter,AG Carnivores  -> AG Litter,AG Omnivores -> AG Litter,AG Decomposers -> AG Litter,SOM -> Soil Microorganisms,Plants ->*,AG Herbivores -> *,AG Carnivores  -> *,AG Omnivores -> *,AG Decomposers -> *,BG Carnivores -> *,BG Herbivores -> *,BG Decomposers -> *,BG Omnivores -> *,Soil Microorganisms -> *,Plants StandBiom,AG Herbivores StandBiom,AG Carnivores StandBiom,AG Omnivores StandBiom,AG Decomposers StandBiom,BG Herbivores StandBiom,BG Carnivores StandBiom,BG Omnivores StandBiom,BG Decomposers StandBiom ,Soil Microorganisms StandBiom,AG Litter StandBiom,SOM StandBiom
B3A13,B3,A13,4,1,4,0,0,0,1,0,0,0,90.988,0.027843,0.0049776,0.00056753,0.0072863,0.0011737,8.56E-05,0.031543,0.013546,0.51258,0.27868,0.55906,60.628,0.20564,0.013213,0.46602,0.3563,0.017917,27.669,0.78856,0.01893,24.71,0.89055,7.1946,0.0033273,7.1617,0.02121,0.004536,0.039531,0.012665,0.29004,55.358,0.00048163,0.0010091,0.00055826,0.00022741,0.0027012,0.014339,35.173,0.16854,0.2688,988.5859531,0.021586768,0.024214377,0.017240152,0.002446212,0.038264467,1.070616531,1.637587813,65.78509631,5.725195111,16.33333333,144.0378121
B3A14,B3,A14,60,4,16,12,20,12,1,1,1,1,69.078,0.085323,0.0027072,0.0024709,0.023561,0.001219,0.00014826,0.048384,0.14657,0.23873,12.611,0.34029,17.327,0.22445,0.025487,0.37088,0.33309,0.020289,5.8763,5.8926,0.040214,2.1376,0.47085,3.5046,0.018651,3.4094,0.078948,0.004355,0.064813,0.14207,0.28049,59.119,0.0024487,0.00082306,0.0084988,0.0018841,6.9575,0.035861,2.2075,0.50334,0.24155,1058.222551,0.023120303,0.01474803,0.019505152,0.020675875,0.0874186,7.991404658,0.859282258,7.05187816,6.663929011,53.33333333,142.0541529
B3A16,B3,A16,16,2,0,8,0,8,0,1,0,1,34.006,0.073581,0.011845,0.0037378,0.019263,0.0032959,0.001012,0.060719,0.073783,0.077474,2.1435,0.7756,11.71,0.13308,0.018039,0.16211,0.15873,0.075373,2.6457,1.9936,0.00093955,3.761,0.25306,3.4834,0.0020517,3.4235,0.057252,0.013644,0.055151,0.0684,0.27139,26.935,0.0011875,0.0019391,0.029138,0.00063323,0.22741,0.67914,5.643,0.29426,0.19396,469.3382404,0.048955286,0.046251953,0.038599394,0.015469781,0.002768199,2.703704232,0.459235555,12.33809048,7.681043704,29.33333333,140.8479537
B3A17,B3,A17,1,1,0,1,0,0,0,1,0,0,33.599,0.24517,0.002335,0.00030646,0.012809,2.77E-07,0.009288,0.092026,0.038841,0.15263,0.50873,3.9999,9.6859,0.024927,0.024718,0.026508,0.047419,0.20638,0.010485,0.65981,1.6235,3.2193,0.30784,4.1193,0.0038967,4.1133,0.0013824,0.00018922,0.1085,0.026779,0.21077,25.193,0.24145,0.0024523,0.0056236,0.0024678,0.0015582,2.199,5.9314,0.02211,0.00049332,407.6244541,0.006042997,0.036224545,0.009641515,0.000629091,3.593815125,0.891504271,0.555360096,9.623675445,7.242253262,114.6666667,150.0278117
B3A19,B3,A19,2,2,1,1,0,0,1,1,0,0,54.522,0.016891,0.00096197,0.00091482,0.0030601,2.66E-05,3.60E-05,0.010521,0.053877,0.15249,3.0492,0.91004,57.464,0.28305,0.0011492,0.0072522,0.19749,0.11725,17.419,0.65199,0.026067,33.235,0.59089,5.9697,0.039818,5.9616,0.014872,0.00095535,0.0047487,0.051976,0.2718,29.928,0.00103,0.00092143,0.0088952,0.00095067,2.5497,0.73033,21.172,0.015311,0.11473,523.3676426,0.006321633,0.042455202,0.003593636,0.005703333,0.053017497,0.891823161,1.075201058,86.53289477,6.096333101,31.33333333,147.895918
B3A20,B3,A20,8,2,0,0,4,4,0,0,1,1,101.39,0.1068,0.0021018,0.0028804,0.016304,4.99E-05,0.00041002,0.013721,0.12426,0.038436,9.1435,0.2099,57.854,27.966,0.038849,2.5992,0.086166,0.13478,12.15,0.72113,0.094849,37.771,0.2151,7.2297,4.05E-05,7.1794,0.046806,0.003112,0.021026,0.11735,0.24091,53.766,0.057844,0.0018703,0.0094588,0.0036214,8.4609,0.037766,8.341,30.61,0.1061,959.2233205,0.007420623,0.047321313,0.003304394,0.010096145,0.182987876,0.97924244,0.39176148,98.01414176,7.019675785,40.33333333,137.1596556
B3A21,B3,A21,2,1,0,0,0,2,0,0,0,1,23.385,0.057633,0.0011251,6.58E-05,0.055341,0.00053215,0.00032626,0.079473,0.0049874,0.20213,1.7439,0.82193,4.3128,0.0012222,0.0019449,0.054321,0.10197,0.00063424,0.61132,1.0822,0.011477,1.076,0.12538,1.6377,0.028461,1.5775,0.055728,0.00066004,0.084191,0.0040172,0.15776,20.26,0.00024836,0.00053095,0.051482,0.00057813,0.86388,0.60638,1.4385,0.034718,0.12867,349.5576639,0.010671919,0.02148729,0.030773485,0.000631212,0.030469206,1.472483007,0.227358156,3.34812578,6.017257434,30.66666667,157.477177
B3A22,B3,A22,16,4,4,4,4,4,1,1,1,1,72.691,0.040854,0.0050916,0.00047802,0.022555,0.0034252,0.00047916,0.079277,0.01295,0.02692,2.0922,0.13829,8.98,0.24099,0.025084,0.19475,0.20813,0.067005,4.4603,0.65068,0.058659,3.6708,0.34426,0.19287,0.0075681,0.15098,0.031187,0.0036301,0.087549,0.011755,0.19704,67.637,0.0011503,0.0019395,0.018187,0.00023789,1.4684,0.027628,3.0222,0.3917,0.12247,1216.156924,0.036462862,0.030291566,0.060628939,0.003444141,0.139108012,0.880303849,0.62650125,11.37934979,6.153958702,57,162.1709811
B3A23,B3,A23,4,4,1,1,1,1,1,1,1,1,45.931,0.079348,0.001644,0.00060832,0.036809,0.00011698,5.29E-05,0.089132,0.07231,0.098534,3.9765,0.48324,11.114,0.36647,0.076455,0.33896,0.34374,0.09143,2.4642,1.6718,0.2128,3.3014,0.58418,3.4351,0.00030423,3.3408,0.077009,0.00017792,0.10775,0.070734,0.21173,39.16,0.00057763,0.0020744,0.018357,0.00091524,2.4032,0.095447,3.4974,0.63287,0.11999,691.0750151,0.011754747,0.075743535,0.016312273,0.004387778,0.632562734,2.256868573,1.064256308,10.42378493,7.521282259,67.66666667,152.4702282
B3A24,B3,A24,16,3,6,5,0,5,1,1,0,1,77.058,0.026402,0.0062854,0.00099194,0.024568,0.0026211,0.0049539,0.1261,0.031955,0.12399,7.8081,0.35,45.578,0.24623,0.10497,0.39604,0.35721,0.11037,22.667,1.426,0.01606,13.285,0.53038,8.2047,0.029023,8.2248,0.017043,0.0037001,0.091223,0.025943,0.22325,45.519,0.00045267,0.0035773,0.067016,6.59E-05,6.5061,0.10498,24.089,0.68444,0.08386,807.6907517,0.028589933,0.042846077,0.070063333,0.007962172,0.03427727,1.965438081,0.964517423,38.0246247,6.112994519,36,160.6076331
B4A01,B4,A01,60,4,16,12,20,12,1,1,1,1,69.759,0.16801,0.0010134,0.0010001,0.068649,0.00012311,0.00028937,0.055334,0.12885,0.0028496,3.1606,0.030865,4.5942,0.012895,0.0031932,0.41754,0.044371,0.0067624,0.44264,1.0865,0.019564,0.57352,0.48445,2.0862,0.15841,1.9721,0.16494,0.00086279,0.0064081,0.12604,0.21278,67.064,0.0019326,0.0011507,0.11799,0.0015203,2.0769,0.0052575,0.44252,0.00031241,0.047599,1205.362061,0.011419377,0.03978096,0.014052273,0.010775606,0.049489656,1.478393742,0.883832831,1.866966691,5.979439152,52.66666667,174.5523465
B4A02,B4,A02,16,3,5,5,6,0,1,1,1,0,57.674,0.027153,0.001138,0.0021007,0.013608,0.00015188,0.00029113,0.033545,0.12654,0.037626,0.17974,0.28946,0.97082,0.04423,0.14548,0.093752,0.094024,0.04116,0.15508,0.079381,0.013067,0.048675,0.26692,0.65521,0.0782,0.64136,0.024441,0.0018173,0.024629,0.12304,0.23133,56.503,0.0014215,0.0014214,0.022966,0.0011026,0.13798,0.09328,0.64866,0.15173,0.11197,1009.726876,0.005130455,0.019044714,0.007665455,0.009556061,0.04008076,0.108659114,0.485983523,0.146977125,5.364232809,60.66666667,133.4726808
B4A04,B4,A04,4,4,1,1,1,1,1,1,1,1,59.173,0.013473,0.0021946,0.0034578,0.0047456,0.00031176,0.00055588,0.0059318,0.026868,0.0010258,7.471,0.073897,11.916,0.50866,0.0281,0.5592,1.7577,0.083064,7.9826,2.5731,0.037789,0.5935,0.71174,1.9419,0.075442,1.9265,0.010664,0.0039086,0.011083,0.022556,0.24227,48.663,0.00030274,0.0017438,0.00046224,0.00029853,4.899,0.0069818,3.2924,2.225,0.08376,865.2319748,0.009425118,0.023530455,0.010056515,0.015010152,0.112540721,3.497483193,1.292631648,1.94916368,5.77728312,17.33333333,124.5338474
B4A06,B4,A06,8,1,0,8,0,0,0,1,0,0,98.721,0.036023,0.0013555,0.0002342,0.0059327,0.00020394,5.92E-05,0.0349,0.036841,0.046051,0.12364,0.079734,49.068,0.11071,0.0070536,0.08618,0.15775,0.046961,15.641,0.16344,0.023633,31.348,0.36274,1.8207,0.0036073,1.7847,0.034054,0.00099058,0.036491,0.036194,0.137,81.062,0.00040952,0.00059912,0.0046044,0.00035352,0.0062513,0.0029955,17.511,0.045916,0.086431,1466.613687,0.010903704,0.011902121,0.005429091,0.001887273,0.047299101,0.223866019,0.663428801,80.2287956,4.763838865,26,120.5195826
B4A07,B4,A07,4,2,0,0,2,2,0,0,1,1,27.151,0.021445,0.0007558,0.0033728,0.02844,0.00011584,0.00062438,0.024427,0.082869,0.6389,4.2057,0.70004,11.392,0.12439,0.018985,0.017017,0.27864,0.012065,2.5052,2.3675,0.0064336,2.7922,0.33972,3.8497,0.019896,3.8279,0.019441,0.0026276,0.029369,0.077642,0.21018,19.944,0.0011323,0.001501,0.024239,0.0012292,2.4771,0.035716,4.3769,0.11137,0.17822,343.9766633,0.004684747,0.04066399,0.019108182,0.021404697,0.020081507,3.216682593,0.621262824,9.18778059,5.367663635,94.66666667,134.1674411
B4A08,B4,A08,8,2,4,4,0,0,1,1,0,0,91.233,0.01327,0.0011993,0.00086548,0.0038119,0.00017674,5.01E-05,0.027363,0.065617,0.00048595,2.1668,0.1464,38.574,0.00037684,0.0030426,13.244,31.132,0.14306,37.274,0.87316,0.13165,11.135,19.355,1.2531,8.56E-05,1.2383,0.01116,0.0012656,0.030891,0.064447,0.17803,52.694,0.0007343,0.00079923,0.00051104,0.0002548,1.2942,0.011223,12.028,25.168,0.034884,939.4139721,0.009113131,0.018308838,0.007957727,0.006483485,0.324532867,1.184324456,38.18554747,37.06981004,4.640316338,36.33333333,134.2011858
