response,Dimens,AG_BG,Ecos_Function,Tr_Group,Trophic_level,flux_out_stock,flux_in_stock,Explanations to response
AG.Decomposers_AG.Litter,flow,AG,Detritus_production,NA,NA,AG.Decomposers,AG.Litter,Excretion and natural mortality of AG Decomposers
SOM_Soil.Microorganisms,flow,BG,Decomposition,NA,NA,SOM,Soil.Microorganisms,Decomposition by soil microorganisms
Plants_o,flow,BG,Respiration,NA,NA,BG.Plants,NA,Respiration of Plants
AG.Herbivores_o,flow,AG,Respiration,NA,NA,AG.Herbivores,NA,Respiration of AG Herbivores
AG.Carnivores_o,flow,AG,Respiration,NA,NA,AG.Carnivores,NA,Respiration of AG Carnivores
AG.Omnivores_o,flow,AG,Respiration,NA,NA,AG.Omnivores,NA,Respiration of AG Omnivores
AG.Decomposers_o,flow,AG,Respiration,NA,NA,AG.Decomposers,NA,Respiration of AG Decomposers
BG.Carnivores_o,flow,BG,Respiration,NA,NA,BG.Carnivores,NA,Respiration of BG Carnivores
BG.Herbivores_o,flow,BG,Respiration,NA,NA,BG.Herbivores,NA,Respiration of BG Herbivores
BG.Decomposers_o,flow,BG,Respiration,NA,NA,BG.Decomposers,NA,Respiration of BG Decomposers
BG.Omnivores_o,flow,BG,Respiration,NA,NA,BG.Omnivores,NA,Respiration of BG Omnivores
Soil.Microorganisms_o,flow,BG,Respiration,NA,NA,Soil.Microorganisms,NA,Respiration of soil microorganisms
AG.Herbivores.Stock,stock,AG,NA,Herbivores,2,AG.Herbivores,AG.Herbivores,Biomass stock of AG Herbivores
AG.Carnivores.Stock,stock,AG,NA,Carnivores,3,AG.Carnivores,AG.Carnivores,Biomass stock of AG Carnivores
AG.Omnivores.Stock,stock,AG,NA,Omnivores,3,AG.Omnivores,AG.Omnivores,Biomass stock of AG Omnivores
AG.Decomposers.Stock,stock,AG,NA,Decomposers,2,AG.Decomposers,AG.Decomposers,Biomass stock of AG Decomposers
BG.Herbivores.Stock,stock,BG,NA,Herbivores,2,BG.Herbivores,BG.Herbivores,Biomass stock of BG Herbivores
BG.Carnivores.Stock,stock,BG,NA,Carnivores,3,BG.Carnivores,BG.Carnivores,Biomass stock of BG Carnivores
BG.Omnivores.Stock,stock,BG,NA,Omnivores,3,BG.Omnivores,BG.Omnivores,Biomass stock of BG Omnivores
BG.Decomposers.Stock,stock,BG,NA,Decomposers,2,BG.Decomposers,BG.Decomposers,Biomass stock of BG Decomposers
Soil.Microorganisms.Stock,stock,BG,NA,Decomposers,2,Soil.Microorganisms,Soil.Microorganisms,Biomass stock of soil microorganisms
AG.Litter.Stock,stock,AG,NA,Detritus,1,AG.Litter,AG.Litter,Standing stock of AG litter
SOM.Stock,stock,BG,NA,Detritus,1,SOM,SOM,Standing stock of soil organic carbon
root_StandBiom,stock,BG,NA,Plants,1,AG.Plants,AG.Plants,Standing stock of plant shoots
shoot_StandBiom,stock,AG,NA,Plants,1,BG.Plants,BG.Plants,Standing stock of plant roots
